firstname,male,female
abhinayashree,0,1
abhinn,1,0
abhira,1,0
abhiraj,2,0
abhiraka,1,0
abhiram,1,0
abhirami,0,1
abhiroop,1,0
abhisek,1,0
abhishek,42,1
abhishiktananda,1,0
abhisit,1,0
abhizeet,1,0
abhra,1,0
abi,4,12
abi'l-saj,1,0
abia,1,0
abiah,1,0
abiathar,1,0
abiather,1,0
abib,1,0
abibatou,0,0
abibatu,0,1
abibilla,1,0
abid,21,0
abida,1,4
abidali,1,0
abidan,0,0
abidemi,0,1
abidin,2,0
abidine,1,0
abidullah,1,0
abie,6,1
abiel,5,0
abiezer,2,0
abiezrite,0,0
abigael,1,1
abigail,1,81
abigaille,0,1
abigél,0,0
abiha,0,1
abihail,0,0
abihud,0,0
abijah,14,0
abijeet,1,0
abijith,1,0
abike,0,1
abilio,0,0
abilkhan,1,0
abimael,1,0
abimana,1,0
abimbola,3,5
abimelech,2,0
abinadi,1,0
abinadom,1,0
abinash,1,0
abinesh,1,0
abing,1,0
abingdon,1,0
abinoam,0,0
abiodun,7,2
abiola,3,2
abipón,1,0
abir,4,1
abiram,2,0
abirami,1,0
abis,1,0
abisai,0,0
abish,0,1
abisha,1,0
abishabis,1,0
abishai,1,0
abishua,1,0
abishur,0,0
abismo,1,0
abisogun,1,0
abitha,0,1
abitor,0,1
abiye,1,0
abiyote,1,0
abkhaz,0,0
abkhazians,1,0
abla,0,4
ablabius,2,0
ablade,3,0
ablahad,1,0
ablaikhan,0,0
ablassé,1,0
ablaye,3,0
abm,1,0
abmerk,1,0
abna',1,0
abner,51,0
abney,1,0
abnousse,0,0
abnér,1,0
abo,1,0
aboazar,1,0
abobaker,1,0
abocha,1,0
aboke,0,1
abol,1,0
abol-bashar,1,0
abol-fath,1,0
abolfadl,0,0
abolfazl,6,0
abolghasem,4,0
abolhasan,2,0
abolhassan,5,0
abolition,0,0
abolqasem,2,0
abomination,1,0
abongile,1,0
aboobakar,1,0
aboobaker,1,0
aboriginal,3,0
aboriginals,0,0
aborigines,0,0
abou,7,0
abouba,0,0
aboubacar,9,0
aboubakar,5,0
aboubaker,0,0
aboubakr,2,0
aboubakry,0,0
aboud,3,0
aboudia,1,0
abouelfetoh,0,0
aboukar,1,0
aboul,0,0
aboumedan,0,0
abousfian,1,0
about,0,1
aboutaleb,1,0
aboutorab,1,0
abouzar,1,0
abra,2,2
abradab,1,0
abradatas,1,0
abrah,0,0
abraha,2,0
abraham,548,1
abraham-joseph,1,0
abraham-louis,2,0
abraham-louis-rodolphe,1,0
abraham-men,0,0
abrahan,1,0
abrahim,0,0
abrahm,0,0
abrahám,1,0
abram,61,0
abramino,1,0
abramo,3,0
abran,1,0
abrantee,1,0
abraomas,1,0
abrar,9,0
abrar-ul-haq,1,0
abraão,1,0
abreham,1,0
abrek,1,0
abrewa,0,1
abrid,1,0
abrie,2,0
abril,0,0
abrocomas,1,0
abrocomes,1,0
abronychus,0,0
abror,1,0
abrosima,1,0
abrotonum,1,0
abroubagui,1,0
abrskil,1,0
abrupolis,1,0
abry,1,0
absadi,1,0
absalom,11,1
absalon,3,0
absamat,1,0
absar,1,0
absattar,1,0
absent,0,0
absh,0,1
abshalom,1,0
abshir,1,0
absinthe,0,1
absolom,1,0
absolon,1,0
absolum,1,0
absor,0,0
abstract,1,0
abstrupus,1,0
abtaha,0,0
abu,329,0
abu'l,3,0
abu'l-'anbas,1,0
abu'l-a'war,1,0
abu'l-abbas,4,0
abu'l-asha'ir,1,0
abu'l-barakat,1,0
abu'l-barakāt,1,0
abu'l-fadl,4,0
abu'l-faraj,2,0
abu'l-fath,3,0
abu'l-fawaris,1,0
abu'l-fazl,1,0
abu'l-fida,1,0
abu'l-futuh,1,0
